id,year,state_name,state_code,cause,gender,number_of_deaths,severity_level,risk_category,decade,age_group
214,2018,Arunachal Pradesh,12,Illness (Insanity/Mental Illness),Male,3.0,Low,Mental Health,2010s,60+
215,2018,Arunachal Pradesh,12,Illness (Insanity/Mental Illness),Transgender,0.0,Low,Mental Health,2010s,60+
216,2018,Arunachal Pradesh,12,Illness (Other Prolonged Illness),Female,0.0,Low,Health,2010s,60+
217,2018,Arunachal Pradesh,12,Illness (Other Prolonged Illness),Male,4.0,Low,Health,2010s,60+
218,2018,Arunachal Pradesh,12,Illness (Other Prolonged Illness),Transgender,0.0,Low,Health,2010s,60+
219,2018,Arunachal Pradesh,12,Illness (Paralysis),Female,0.0,Low,Health,2010s,60+
220,2018,Arunachal Pradesh,12,Illness (Paralysis),Male,0.0,Low,Health,2010s,60+
221,2018,Arunachal Pradesh,12,Illness (Paralysis),Transgender,0.0,Low,Health,2010s,60+
222,2018,Arunachal Pradesh,12,Illness (Total),Female,2.0,Low,Health,2010s,60+
223,2018,Arunachal Pradesh,12,Illness (Total),Male,7.0,Low,Health,2010s,60+
224,2018,Arunachal Pradesh,12,Illness (Total),Transgender,0.0,Low,Health,2010s,60+
225,2018,Arunachal Pradesh,12,Impotency/Infertility,Female,0.0,Low,Health,2010s,45-59
226,2018,Arunachal Pradesh,12,Impotency/Infertility,Male,0.0,Low,Health,2010s,45-59
227,2018,Arunachal Pradesh,12,Impotency/Infertility,Transgender,0.0,Low,Health,2010s,45-59
228,2018,Arunachal Pradesh,12,Love Affairs,Female,0.0,Low,Social,2010s,15-24
229,2018,Arunachal Pradesh,12,Love Affairs,Male,0.0,Low,Social,2010s,15-24
230,2018,Arunachal Pradesh,12,Love Affairs,Transgender,0.0,Low,Social,2010s,15-24
231,2018,Arunachal Pradesh,12,Marriage Related Issues (Divorce),Female,0.0,Low,Social,2010s,25-44
232,2018,Arunachal Pradesh,12,Marriage Related Issues (Divorce),Male,0.0,Low,Social,2010s,25-44
233,2018,Arunachal Pradesh,12,Marriage Related Issues (Divorce),Transgender,0.0,Low,Social,2010s,25-44
234,2018,Arunachal Pradesh,12,Marriage Related Issues (Dowry Related Issues),Female,0.0,Low,Social,2010s,25-44
235,2018,Arunachal Pradesh,12,Marriage Related Issues (Dowry Related Issues),Male,0.0,Low,Social,2010s,25-44
236,2018,Arunachal Pradesh,12,Marriage Related Issues (Dowry Related Issues),Transgender,0.0,Low,Social,2010s,25-44
237,2018,Arunachal Pradesh,12,Marriage Related Issues (Extra Marital Affairs),Female,0.0,Low,Social,2010s,25-44
238,2018,Arunachal Pradesh,12,Marriage Related Issues (Extra Marital Affairs),Male,0.0,Low,Social,2010s,25-44
239,2018,Arunachal Pradesh,12,Marriage Related Issues (Extra Marital Affairs),Transgender,0.0,Low,Social,2010s,25-44
240,2018,Arunachal Pradesh,12,Marriage Related Issues (Non-Settlement Of Marriage),Female,0.0,Low,Social,2010s,25-44
241,2018,Arunachal Pradesh,12,Marriage Related Issues (Non-Settlement Of Marriage),Male,1.0,Low,Social,2010s,25-44
242,2018,Arunachal Pradesh,12,Marriage Related Issues (Non-Settlement Of Marriage),Transgender,0.0,Low,Social,2010s,25-44
243,2018,Arunachal Pradesh,12,Marriage Related Issues (Others),Female,1.0,Low,Social,2010s,25-44
244,2018,Arunachal Pradesh,12,Marriage Related Issues (Others),Male,0.0,Low,Social,2010s,25-44
245,2018,Arunachal Pradesh,12,Marriage Related Issues (Others),Transgender,0.0,Low,Social,2010s,25-44
246,2018,Arunachal Pradesh,12,Marriage Related Issues (Total),Female,1.0,Low,Social,2010s,25-44
247,2018,Arunachal Pradesh,12,Marriage Related Issues (Total),Male,1.0,Low,Social,2010s,25-44
248,2018,Arunachal Pradesh,12,Marriage Related Issues (Total),Transgender,0.0,Low,Social,2010s,25-44
249,2018,Arunachal Pradesh,12,Other Causes,Female,16.0,Low,Psychological,2010s,25-44
250,2018,Arunachal Pradesh,12,Other Causes,Male,45.0,Low,Psychological,2010s,25-44
251,2018,Arunachal Pradesh,12,Other Causes,Transgender,0.0,Low,Psychological,2010s,25-44
252,2018,Arunachal Pradesh,12,"Physical Abuse (Rape, Etc.)",Female,0.0,Low,Crime,2010s,18-29
253,2018,Arunachal Pradesh,12,"Physical Abuse (Rape, Etc.)",Male,0.0,Low,Crime,2010s,18-29
254,2018,Arunachal Pradesh,12,"Physical Abuse (Rape, Etc.)",Transgender,0.0,Low,Crime,2010s,18-29
